,Kilometraje,Precio,Anho,Transmisión,Vehículo,Región,Ciudad,Combustible,Puertas,Color Exterior,Pasajeros,Litros (motor),Consumo de combustible (combinado),Cilindros
149,83.000 kms,$ 7.700.000,2012,manual,2012 Subaru XV 2.0i AWD,Metropolitana de Santiago,Santiago,Bencina,5,plateado,5,2.0,"14,5 km/l",4
150,14.000 kms,$ 13.280.000,2017,automático,2017 Subaru XV 1.6i CVT Auto 4WD,Metropolitana de Santiago,Santiago,Bencina,5,NARANJO,5,1.6,"15,9 km/l",4
151,18.700 kms,$ 18.890.000,2018,automático,2018 Subaru XV 2.0i CVT Auto 4WD,Araucanía,Temuco,Bencina,5,Blanco,5,2.0,"14,1 km/l",4
152,52.000 kms,$ 12.600.000,2015,manual,2015 Subaru XV 2.0D 4WD,Maule,Constitucion,Diesel (petróleo),5,blanco,5,2.0,"17,5 km/l",4
153,53.000 kms,$ 10.990.000,2015,automático,2015 Subaru XV 2.0i CVT Dynamic 4WD,Araucanía,Temuco,Bencina,5,Verde perlado,,, km/l,
154,1 kms,$ 8.490.000,2012,automático,2012 Subaru XV 2.0i CVT 4WD,OHiggins,Rancagua,Bencina,5,Plomo ,5,2.0,"15,2 km/l",4
155,84.000 kms,$ 7.990.000,2012,automático,2012 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,NARANJO PERLA,5,2.0,"15,2 km/l",4
156,85.853 kms,$ 8.980.000,2013,automático,2013 Subaru XV XV,Metropolitana de Santiago,Santiago,Bencina,5,Plateado Claro,,, km/l,
157,71.000 kms,$ 6.100.000,2011,automático,2011 Subaru XV 2.0 R AWD,Metropolitana de Santiago,Santiago,Bencina,5,,,, km/l,
158,87.000 kms,$ 7.800.000,2011,manual,2011 Subaru XV 2.0R AWD MT,Maule,Talca,Bencina,5,GRIS,,, km/l,
159,59.000 kms,$ 11.300.000,2014,automático,2014 Subaru XV 2.0i CVT 4WD,Los Lagos,Puerto Varas,Bencina,5,arena,5,2.0,"15,2 km/l",4
160,35.000 kms,$ 11.590.000,2015,automático,2015 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Rojo,5,2.0,"13,5 km/l",4
161,30.000 kms,$ 13.990.000,2016,automático,2016 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Plata,5,2.0,"13,5 km/l",4
162,73.500 kms,$ 8.600.000,2015,manual,2015 Subaru XV 1.6i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,1.6,"15,9 km/l",4
163,85.000 kms,$ 9.800.000,2012,automático,2012 Subaru XV 2.0i CVT Limited 4WD,OHiggins,Pichidegua,Bencina,5,,,, km/l,
164,60.000 kms,$ 14.980.000,2016,automático,2016 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,NARANJO,5,2.0,"13,5 km/l",4
