,Pasajeros,Puertas,Kilometraje,Combustible,Transmisión,Anho,Región,Consumo de combustible (combinado),Precio,Litros (motor),Vehículo,Ciudad,Cilindros,Color Exterior
212,,4,164.000 kms,Bencina,manual,2002,Metropolitana de Santiago, km/l,$ 3.350.000,,2002 Toyota COROLLA 1.6 GLi,Santiago,,Gris Plata
213,,4,51.000 kms,Bencina,automático,2013,Metropolitana de Santiago, km/l,$ 6.600.000,,2013 Toyota COROLLA 1.6 LEI Auto,Santiago,,plateado silver
214,5,4,190.000 kms,Bencina,manual,2008,Bío Bío,0 km/l,$ 4.500.000,1.6,2008 Toyota COROLLA 1.6 XLI,San Carlos,4,blanco
215,5,4,,Bencina,automático,2002,Maule,0 km/l,$ 2.550.000,1.6,2002 Toyota COROLLA 1.6 GLi,Talca,4,Gris
216,,4,80.000 kms,Bencina,manual,2012,Metropolitana de Santiago, km/l,$ 5.500.000,,2012 Toyota COROLLA 1.6 GLI,Santiago,,Plata
217,,4,54.000 kms,Bencina,manual,2015,Metropolitana de Santiago, km/l,$ 6.800.000,,2015 Toyota COROLLA 1.8 GL,San Bernardo,,gris metalico
218,,5,210.700 kms,Bencina,manual,2011,Metropolitana de Santiago, km/l,$ 12.500.000,,2011 Toyota COROLLA 1.6 sedan,Batuco,,gris
219,5,4,142.000 kms,Bencina,manual,2008,Maule,0 km/l,$ 4.200.000,1.6,2008 Toyota COROLLA 1.6 XLI,Curico,4,Veish
220,,4,170.000 kms,Bencina,manual,2009,Metropolitana de Santiago, km/l,$ 4.500.000,,2009 Toyota COROLLA GLI 1.6,Santiago,,PLATA
221,5,4,88.000 kms,Bencina,manual,2011,Bío Bío,0 km/l,$ 5.850.000,1.6,2011 Toyota COROLLA 1.6 XLI,Concepcion,4,gris plata
222,,4,26.068 kms,Bencina,manual,2010,Metropolitana de Santiago, km/l,$ 5.990.000,,2010 Toyota COROLLA 1.6 XLI,Santiago,,blanco
223,,4,230.000 kms,Bencina,manual,1990,Valparaíso, km/l,$ 1.250.000,,1990 Toyota COROLLA glx,Viña del Mar,,blanco
224,,4,125.554 kms,Bencina,manual,2007,Metropolitana de Santiago, km/l,$ 3.800.000,,2007 Toyota COROLLA 1.6 XLI,Santiago,,BLANCO
225,5,4,65.000 kms,Bencina,automático,2015,Bío Bío,"15,2 km/l",$ 8.490.000,1.8,2015 Toyota COROLLA 1.8 GL CVT,Concepcion,4,
226,5,4,110.000 kms,Bencina,automático,2008,Araucanía,0 km/l,$ 4.450.000,1.6,2008 Toyota COROLLA 1.6 XLI AUTO LUJO,Villarrica,4,Gris
227,5,4,105.000 kms,Bencina,manual,2014,Los Lagos,0 km/l,$ 7.600.000,1.6,2014 Toyota COROLLA 1.6 GLI,Puerto Montt,4,
228,5,4,125.000 kms,Bencina,manual,2011,OHiggins,0 km/l,$ 5.200.000,1.6,2011 Toyota COROLLA 1.6 XLI,Rengo,4,Plateado
229,5,4,,Bencina,manual,2007,Bío Bío,0 km/l,$ 4.190.000,1.8,2007 Toyota COROLLA 1.8 XEI MT,Los Angeles,4,Beige Metalico
230,,4,65.000 kms,Bencina,automático,2015,Bío Bío, km/l,$ 7.990.000,,2015 Toyota COROLLA 1.8 GL,Concepcion,,Plateado
